"","X.new_regions.","X.sunspot_area.","X.sunspot_number.","X.radio_flux.","X.grow","X.grow.day","X.less"
"221","1",1030,161,128,"-1",2,"-1"
"222","3",730,149,130,"0",0,"-1"
"223","1",480,125,132,"1",1,"-1"
"224","0",210,35,111,"1",5,"-1"
"225","1",390,61,110,"1",6,"-1"
"226","0",440,44,108,"1",7,"-1"
"227","0",450,55,109,"1",8,"-1"
"228","1",410,84,106,"1",12,"-1"
"229","0",360,74,106,"1",13,"-1"
"230","0",370,77,109,"1",14,"-1"
"231","0",10,13,94,"-1",10,"-1"
"232","1",10,23,95,"-1",9,"1"
"234","1",81,58,93,"-1",8,"-1"
"235","0",40,23,95,"-1",4,"-1"
"237","0",240,59,104,"-1",2,"1"
"238","3",290,85,108,"-1",1,"1"
"239","1",290,65,108,"1",3,"-1"
"240","0",270,61,111,"1",5,"-1"
"241","1",340,63,110,"1",6,"-1"
"242","0",190,39,103,"1",9,"1"
"243","1",70,42,105,"1",10,"1"
"244","0",120,49,107,"1",11,"1"
"245","2",270,59,108,"1",12,"1"
"246","1",310,61,114,"1",13,"1"
"247","3",170,76,112,"-1",11,"-1"
"248","3",280,99,112,"-1",10,"-1"
"249","1",490,111,113,"-1",9,"-1"
"250","1",670,138,121,"-1",8,"1"
"251","2",790,136,125,"-1",5,"-1"
"252","1",800,148,125,"-1",4,"1"
"253","1",620,120,128,"-1",3,"-1"
"254","3",760,166,136,"-1",2,"-1"
"255","2",870,179,136,"1",2,"-1"
"256","0",990,228,146,"1",3,"-1"
"257","0",1080,141,153,"1",4,"1"
"258","2",1440,148,161,"1",5,"-1"
"259","0",1750,155,160,"1",9,"-1"
"260","1",1720,171,153,"1",10,"1"
"261","1",1230,132,142,"1",11,"1"
"262","1",900,128,143,"1",12,"-1"
"263","0",1370,151,147,"-1",13,"-1"
"264","0",1400,134,149,"-1",12,"-1"
"265","2",1250,148,154,"-1",11,"1"
"266","0",1170,159,148,"-1",10,"-1"
"267","2",1060,104,164,"-1",7,"-1"
"268","1",1810,147,168,"-1",6,"1"
"269","0",1670,128,171,"-1",5,"-1"
"270","2",1580,234,176,"-1",4,"1"
"271","0",1550,144,163,"0",0,"-1"
"272","0",1540,113,153,"1",1,"-1"
"273","0",1180,95,147,"1",2,"-1"
"274","0",890,85,141,"1",3,"-1"
"275","1",200,52,119,"1",7,"1"
"276","1",140,47,116,"1",8,"-1"
"277","2",370,76,129,"1",9,"1"
"278","1",800,100,133,"1",10,"-1"
"279","1",570,97,136,"-1",13,"-1"
"280","1",620,98,138,"-1",12,"-1"
"281","0",510,103,150,"-1",11,"-1"
"282","3",920,125,168,"-1",7,"-1"
"284","0",1140,156,165,"-1",5,"-1"
"285","1",780,114,154,"-1",1,"-1"
"286","1",760,91,159,"0",0,"1"
"287","3",1130,118,156,"1",1,"-1"
"288","1",1150,138,153,"1",2,"1"
"289","2",1070,137,149,"1",3,"1"
"290","0",1850,196,237,"-1",8,"-1"
"291","1",1990,178,195,"-1",7,"-1"
"293","0",1350,102,143,"-1",3,"-1"
"294","1",480,95,137,"-1",2,"-1"
"295","0",450,87,126,"-1",1,"-1"
"296","1",330,77,121,"0",0,"1"
"297","2",850,131,137,"1",4,"1"
"298","2",820,141,146,"1",5,"-1"
"299","1",670,144,143,"1",6,"-1"
"300","0",560,121,136,"1",7,"-1"
"301","2",490,62,144,"1",11,"-1"
"302","0",910,70,157,"1",12,"-1"
"303","0",1370,96,156,"1",13,"-1"
"304","0",1470,112,161,"1",14,"-1"
"305","0",1870,168,188,"-1",10,"-1"
"306","1",1970,183,188,"-1",9,"-1"
"307","3",2080,234,194,"-1",8,"1"
"308","0",2630,223,191,"-1",7,"1"
"309","1",940,122,161,"-1",4,"1"
"310","1",1100,151,172,"-1",3,"-1"
"311","1",1260,187,160,"-1",2,"-1"
"312","0",1710,157,167,"-1",1,"-1"
